CKG_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_MTRL_CN,vegetarian_type
조기생고사리조림,689,0,2,조림,해물류,메인반찬,['재료 생 고사리100g 조기4마리 양념 고춧가루1T 맛술1T 참치액1T 간장1T 다진마늘1T 소고기다시다 조미료12T'],Omnivore
맥앤고추장,79,0,1,끓이기,밀가루,면/만두,['재료 마카로니2컵 물3컵 치즈1장 양념 고추장152T 고춧가루051T'],Lacto-Ovo_Vegetarian
식빵튀김,566,0,7,튀김,가공식품류,디저트,['재료 식빵2장 튀김가루100g 물120ml'],Lacto-Ovo_Vegetarian
시금치계란말이,536,0,3,부침,채소류,밑반찬,['재료 계란5개 소금2꼬집 설탕1꼬집 시금치나물약간'],Lacto-Ovo_Vegetarian
대파간장계란밥,1408,0,12,볶음,채소류,밥/죽/떡,['재료 대파15대 다진마늘12스푼 계란2개 들기름45스푼 간장1스푼 통깨약간'],Lacto-Ovo_Vegetarian
생들깨떡국,354,0,2,끓이기,소고기,국/탕,['재료 생 들깨60g 계란2개 떡국떡3줌 대파12개 소고기100g 양념 굵은소금1T 참치액15T'],Omnivore
브라운슈가헤이즐넛라떼 ,2704,0,4,기타,달걀/유제품,차/음료/술,['재료 인스턴트커피1T 브라운슈가1T 헤이즐넛시럽1t 뜨거운 물1T 얼음적당량 우유120ml'],Lacto-Ovo_Vegetarian
달래두부덮밥,113,0,1,기타,채소류,밥/죽/떡,['재료 달래100g 양파12개 두부23모 물2컵 다시마1장 국물 멸치5마리 전분물1큰술 밥2공기 새우젓1작은술'],Pescatarian
사골곰탕떡만두국,289,0,11,끓이기,가공식품류,국/탕,['떡만두국 재료 사골곰탕1봉지 떡국떡2인분 냉동만두8개 파1대 계란2개 조미김2봉지'],Omnivore
떡만두국,124,0,1,부침,기타,국/탕,['재료 사골곰탕1L 만두10개 떡국떡300g 대파2대 다진마늘1큰술'],Omnivore
짜사이무침,3911,0,6,무침,채소류,밑반찬,['재료 짜사이400g 대파1대 맛술1큰술 양념 고추기름3큰술 설탕1큰술 식초1큰술 참기름12큰술'],Super_Vegan
멸치볶음,732,0,0,볶음,건어물류,밑반찬,['재료 잔 멸치80g 풋고추56개 다진마늘1T 물400ml 양파당2T 식초1T 통깨1T'],Pescatarian
어묵볶음,458,0,7,볶음,기타,밑반찬,['재료 오뎅4장 양파12개 간장2스푼 올리고당1스푼 물2스푼 식용유조금 통깨조금'],Pescatarian
생선초밥,2659,0,5,회,해물류,밥/죽/떡,['초대리 재료 다시마8조각 식초4T 설탕35T 소금09T 초밥재료 밥15공기 초대리2T 생선회13조각 김14장 무순약간 고추냉이약간'],Pescatarian
양배추게살스프,328,0,5,끓이기,가공식품류,스프,['재료 양배추1줌 게맛살4개 맛살1개 당근조금 대파1줄기 달걀 흰자2개 전분물4T 양념 마늘3개 굴소스12T'],Pescatarian
커리락사비빔면,286,0,3,끓이기,가공식품류,면/만두,['재료 커리 락사 면2인분 달걀 노른자2개'],Lacto-Ovo_Vegetarian
양배추계란전,599,0,8,부침,달걀/유제품,밑반찬,['재료 양배추적당량 당근1조각 대파적당량 오양 맛살1개 양념 천일염3꼬집 갈색설탕1t'],Pescatarian
알배추두부쌈,757,0,9,부침,채소류,메인반찬,['재료 알배추15장 두부230g 소고기80g 숙주120g 당면1줌 대파13대 부추10g 계란1개 소고기 밑간 간장1스푼 맛술1스푼 간 마늘1스푼 설탕1스푼 참기름1스푼 후춧가루톡톡 당면 밑간 간장12스푼 소금2꼬집 참기름12스푼 양념 간장1스푼 소금13작은스푼 설탕1스푼 들깻가루2스푼 마늘1스푼 후춧가루톡톡 참기름1스푼'],Omnivore
와플가래떡구이,305,0,5,굽기,쌀,디저트,['재료 가래떡 양념 꿀'],Vegan
소불고기파스타,1056,0,4,볶음,소고기,양식,['재료 파스타면2인분 한우소고기200g 대파1개 양파12개 양송이버섯6개 베이비 야채조금 소스 간장3T 미림1T 고춧가루3T 설탕2T 물엿1T 다진 마늘1T 물12C'],Omnivore
새우만두,459,0,4,찜,돼지고기,면/만두,['만두 속 재료 새우20마리 다진 돼지고기300g 부추14단 파2줄기 속 양념 재료 간장1T 맛술1T 참기름1T 식용유3T 후춧가루조금 다진생강조금혹은 생강가루 새우 밑간 소금조금 후추조금 맛술1T 초간장 만들기 간장2T 식초2T 고춧가루1T 마늘취향것 고춧가루취향것'],Omnivore
연근칩,565,0,1,굽기,채소류,과자,['재료 연근1개'],Super_Vegan
생새우보관법,2964,0,0,기타,해물류,기타,['재료 생새우1박스 설탕조금'],Pescatarian
새우샐러드,1684,0,6,기타,채소류,샐러드,['새우 샐러드 양상추3장 냉동새우6마리 올리브오일조금 허브솔트조금 블루베리2줌 방울토마토5개 마카다미아1줌 요거트드레싱 요거트5T 꿀2T 레몬즙15T 소금13t'],Pescatarian
녹두빈대떡,19732,0,15,부침,곡류,메인반찬,['재료 녹두200g 물200g 돼지고기 다짐육160g 배추김치1컵 숙주2줌 고사리 데친거1줌 대파12대 찹쌀가루40ml 소금 식용유 들기름약간 고기밑간 소금2꼬집 다진 마늘1t 생강가루13t 후추약간'],Omnivore
감자뇨끼,2117,0,6,볶음,채소류,면/만두,['재료 감자400g 전분30g 계란 노른자1개 파마산 치즈5g 소금1꼬집 후춧가루톡톡 크림수프 양념 양파12개 마늘3쪽 양송이 버섯5개 버터10g 생크림200g 치킨스톡12스푼'],Omnivore
소세지야채볶음,2200,0,19,볶음,기타,밑반찬,['재료 비엔나 소세지200g 홍 파프리카40g 노란 파프리카38g 양파55g 케첩2큰술 굴소스07큰술 올리브오일2큰술 통깨솔솔 소세지 데치기 물600ml'],Omnivore
김치콩나물국,1825,0,18,끓이기,채소류,국/탕,['재료 콩나물200g 신김치79g 홍고추1개17g 양파 대파 참치액1큰술 까나리액젓1큰술 쌀뜨물13큰술또는 물 고추장1112L'],Pescatarian
느타리버섯전,745,0,14,부침,채소류,밑반찬,['재료 느타리버섯 1팩107g 당근32g 양파30g 계란2개 부침가루225큰술 소금34꼬집 식용유적당히'],Lacto-Ovo_Vegetarian
토핑계란,286,0,0,기타,달걀/유제품,샐러드,['재료 계란3개 양파14개 피클80g 마요네즈2T'],Lacto-Ovo_Vegetarian
봉지라면,5660,0,4,끓이기,가공식품류,면/만두,['재료 봉지라면1봉 물400ml 계란1개'],Omnivore
무생채,169,0,4,무침,채소류,밑반찬,['재료 무200g 당근13개 오이12개 소금1작은술 참치100g 양념 재료 설탕2작은술 식초2작은술 마요네즈25큰술 깨1큰술'],Pescatarian
배추겉절이,3428,0,33,무침,채소류,밑반찬,['재료 배추1통 쪽파10줄기 굵은소금4스푼 양념 고춧가루1컵 다진 마늘2스푼 다진 양파2스푼 액젓5스푼 새우젓1스푼 설탕5스푼'],Pescatarian
콩나물볶음,468,0,6,볶음,채소류,메인반찬,['재료 콩나물400g 사각어묵3개 다진 마늘1숟갈 청양고추1개 애호박12개 파프리카1개 진간장2숟갈 까나리액젓1숟갈 식용유조금 참기름1숟갈 통깨조금'],Pescatarian
오징어볶음,969,0,18,볶음,해물류,메인반찬,['재료 오징어1 양파12 당근약간 청양고추1 양념  고추장1큰술 고추가루3큰술 진간장3큰술 올리고당1큰술 굴소스1큰술 다진마늘2큰술 깨소금'],Pescatarian
국물떡볶이,997,0,8,끓이기,기타,기타,['재료 가래떡12줄 절편7개 도톰 어묵2장 대파1줌 후추톡톡 양념 코인육수1알 생수400ml 간장3T 설탕1T 올리고당1T 고추장15T'],Pescatarian
어묵구이,278,0,6,굽기,가공식품류,기타,['재료 사각어묵23장 마요네즈1T 생와사비약간'],Pescatarian
소고기미역국,754,0,3,끓이기,기타,국/탕,['재료 자른미역12줌 소고기 국거리용100g 들기름넉넉히 물800ml 국간장15스푼 참치액1스푼 소금13스푼 들깨가루2스푼'],Omnivore
버터구이오징어,1684,0,9,굽기,해물류,기타,['재료 반건조오징어12마리 버터20g 설탕1t 올리고당12t'],Pescatarian
배추전,315,0,15,부침,채소류,디저트,['재료 배추6장 부침가루35컵 소금적당량 식용유적당량 건새우1컵'],Pescatarian
신김치전,354,0,2,부침,채소류,퓨전,['재료 김치12포기 부침가루1컵 밀가루1컵 물1컵 소금1꼬집 설탕1t 양파12개'],Pescatarian
파계란국,1023,0,20,끓이기,달걀/유제품,국/탕,['재료 계란3개 육수700ml 국간장15큰술 양파14개 파1움큼 후추약간 소금약간 간마늘1t'],Pescatarian
삼겹살김밥,1931,0,4,기타,돼지고기,밥/죽/떡,['재료 밥1공기 김3장 묵은지36잎 삼겹살100g 양파12개 당근14개 식용유약간 소금약간 김밥 양념 소금약간 깨소금약간 참기름1T 쌈장양념 된장05T 매실청05T 참기름05T'],Omnivore
매콤스팸마요덮밥,1148,0,15,볶음,가공식품류,밥/죽/떡,['재료 달걀2개 스팸12통 밥1그릇 양파13개 대파흰부분12개 청양고추12개 다진마늘12숟갈 마요네즈15숟갈 김가루1젓가락 참기름1티스푼 맛소금1꼬집 식용유2숟갈 매콤양념 매운고추장1숟갈 케첩2큰숟갈 진간장1숟갈'],Omnivore
고등어두부조림,4551,0,10,조림,해물류,메인반찬,['재료 손질고등어2마리 무500g 양파1개 두부12모 양념 고춧가루4T 다진마늘1T 올리고당2T 간장34T 참치액젓1T 맛술2T 된장12 물500ml'],Pescatarian
오삼불고기,331,0,7,볶음,육류,메인반찬,['재료 대패삼겹살300g 오징어150g 양파1개 마늘8개 후추조금 당근20g 깨조금 양념 고추장2스푼 고추가루1스푼 다진마늘1스푼 간장2스푼 맛술1스푼 사과즙4스푼 참기름2스푼 설탕05스푼'],Omnivore
깻잎나물볶음,1834,0,92,볶음,채소류,밑반찬,['재료 깻잎순200g 소금05스푼 물500ml 깨조금 다진대파1스푼 양념 다진마늘05스푼 국간장1스푼 들기름1스푼'],Super_Vegan
고구마스틱,418,0,1,굽기,곡류,과자,['재료 고구마2개 오일2T 파슬리가루톡톡'],Super_Vegan
계란찜,7567,0,175,찜,달걀/유제품,밑반찬,['재료 계란4개 물120ml 다진쪽파2큰술 양념 맛술2큰술 쯔유2큰술 후추톡톡 참기름1큰술'],Pescatarian
소고기무국,2445,0,199,끓이기,소고기,국/탕,['재료 소고기국거리200g 무14개 대파넉넉히 국간장1스푼 다진마늘1스푼 소금약간 참기름2스푼 쌀뜨물5컵'],Omnivore
고구마솥밥,252,0,0,기타,채소류,밥/죽/떡,['재료 고구마3개 쌀 불린거4인분'],Super_Vegan
배추된장국,406,0,1,끓이기,채소류,국/탕,['재료 알배기배추10장 된장3스푼 고추장2스푼 들기름2스푼 가을무약간 대파넉넉히 쌀뜨물3L 다진마늘1스푼'],Super_Vegan
고구마튀김,471,0,2,튀김,채소류,디저트,['재료 고구마2개 튀김가루1컵 식용유넉넉히 얼음넉넉히'],Super_Vegan
고구마닭볶음탕,963,0,17,조림,닭고기,국/탕,['재료 닭 볶음용1팩 고구마5개 대파넉넉히 양파1개 맛술1스푼 양념장 고추장3스푼 고춧가루2스푼 맛술1스푼 다진마늘2스푼 진간장2스푼 물엿2스푼 후춧가루약간'],Omnivore
깍두기볶음밥,317,0,6,볶음,쌀,밥/죽/떡,['재료 공기밥2인분 깍두기넉넉히 깍두기국물5스푼 대파넉넉히 대패삼겹살100g 굴소스2스푼'],Omnivore
북엇국,622,0,4,끓이기,건어물류,국/탕,['재료 북어채넉넉히 두부1모 대파넉넉히 국간장1스푼 다진마늘1스푼 무14개 후춧가루약간 계란2개'],Pescatarian
어묵탕,462,0,2,끓이기,가공식품류,국/탕,['재료 60인분 어묵2kg 무1kg 대파2개 양파2개 청양고추6개 양념 국간장300ml 소금200g 후추50g'],Pescatarian
들깨죽순볶음,845,0,6,볶음,돼지고기,밑반찬,['재료 돼지고기목살1장 죽순100g 파1줌 양파12개 마늘2알 소금1꼬집 들기름2스푼'],Omnivore
김치손만두,293,0,0,끓이기,돼지고기,국/탕,['재료 만두10개 멸치 티백1팩 국간장1스푼 참치액1스푼 대파넉넉히 소금약간 계란2개 후춧가루약간 떡국떡약간'],Omnivore
어묵국,745,0,15,끓이기,건어물류,국/탕,['재료 사각어묵15장 무50g 양파03개 다시마1장 청양고추1개 대파1대 물800ml 소금05스푼 다진마늘05스푼 국간장1스푼'],Pescatarian
묵은지볶음,1496,0,16,볶음,채소류,밑반찬,['재료 신김치14포기 양념 들기름4T 설탕1T 깨2T'],Pescatarian
흑임자크림라떼,4699,0,3,기타,달걀/유제품,차/음료/술,['흑임자크림베이스재료 흑임자파우더2T 설탕1T 동물성 휘핑크림60g 재료 얼음적당량 우유110ml 에스프레소2샷'],Lacto-Ovo_Vegetarian
딸기파르페,869,0,3,기타,과일류,디저트,['재료 딸기810개 플레인 요거트1개 바닐라아이스크림 시리얼 막대과자23개 아몬드등 견과류'],Lacto-Ovo_Vegetarian
동죽조개시금치순두부국,146,0,1,끓이기,채소류,국/탕,['재료 동죽조개300400g 시금치1단 순두부 작은봉지2개 청양고추23개 조개육수 만들때 생강술2큰술 양념 된장2큰술 다진마늘1작은술 고추가루1큰술 후추가루아주조금'],Pescatarian
고구마피자,4004,0,102,굽기,곡류,퓨전,['재료 고구마 중1개 피망14개 양파14개 베이컨4장 달걀1개 옥수수콘12큰술 소금13큰술 설탕1큰술 모짜렐라치즈 파슬리가루'],Omnivore
들기름두부지짐,1227,0,9,부침,콩/견과류,메인반찬,['재료 마른 두부500g 들기름5큰술 곁들임 무생채 김장김치 양념간장'],Pescatarian
소고기불고기,552,0,9,끓이기,소고기,메인반찬,['재료 소고기 불고기용300g 당면 불린거12줌 팽이버섯1봉지 쪽파4뿌리 청양고추1 믹서기 재료 배16개 사과16개 양파16개 물1컵 양념 진간장78스푼 흑설탕2스푼 청주1스푼 다진마늘1스푼 참기름 후추약간'],Omnivore
매생이굴떡국,655,0,5,끓이기,해물류,밥/죽/떡,['재료 매생이200g 생굴1봉지 물600ml 떡국먹고싶은만큼 참치액12국자 참기름15스푼'],Pescatarian
간장계란비빔밥,1828,0,10,비빔,달걀/유제품,밥/죽/떡,['간장계란비빔밥 재료 밥2공기 계란2개 간장2큰술 참기름2큰술 깨조금'],Lacto-Ovo_Vegetarian
일본카레,2496,0,15,끓이기,돼지고기,기타,['재료 에스비 골든 카레220g 돼지고기 카레용400g 감자400g 당근250g 양파300g 냉동 완두콩150g 양념 다진마늘1스푼 후추약간'],Omnivore
곤약크림파스타,501,0,16,볶음,달걀/유제품,양식,['재료 파스타면200g곤약면 올리브오일조금 양파85g 새송이버섯1개 히말라야 핑크 소금3꼬집 생크림200ml 버터22g 파르미지아노레지아노 치즈2T 파슬리가루조금'],Lacto-Ovo_Vegetarian
홍합밥,1163,0,4,끓이기,해물류,밥/죽/떡,['재료 쌀15컵 홍합살200g 당근14개 대파12대 쯔유1큰술 청주2작은술 다시마물15컵'],Pescatarian
배추콩비지스튜,280,0,5,끓이기,채소류,퓨전,['재료 굵은 멸치1줌 다시마23조각 물400ml 콩비지300g 집간장12T 배추300g 깨1T'],Pescatarian
김치찌개,1019,0,3,끓이기,돼지고기,찌개,['재료 사태200g 김치12포기 양파12개 대파조금 들기름1큰술 설탕1큰술 참치액1큰술 코인육수2개 다시다1티스푼'],Omnivore
돼지고기김치찌개,350,0,3,끓이기,돼지고기,찌개,['재료 돼지고기 국거리200g 두부13개 대파12 김치1컵 양념 고춧가루1T 간장3T 다진마늘1T 액젓1T 참기름1T 김치국물1국자'],Omnivore
마파두부,1170,0,11,끓이기,가공식품류,메인반찬,['재료4인분 연두부2모 달걀2개 고추기름3T 청양고추12개 양념장 물4T 파 흰부분12대 고추장12T 굴소스1T 설탕1T 진간장1T 홍피망14개 청피망14개'],Pescatarian
연두부굴탕,288,0,3,끓이기,해물류,국/탕,['재료 시금치100g 굴100g 연두부200g 달걀2개 새우 중10마리 식용유1T 육수 물15L 다시마10g 대파10g 생강20g 국간장2T 참치액젓2T 새우젓국물2T'],Pescatarian
소불고기,2810,0,45,볶음,소고기,메인반찬,['재료 소고기 불고기감300g 양파12개 대파12대 당근약간 표고버섯23개 떡볶이떡1012개 양념 간장4T 굴소스1T 설탕3T 맛술2T 배즙5T 다진 마늘1T 후추약간 참기름1T'],Omnivore
고구마야채전,452,0,6,부침,채소류,기타,['재료 고구마2개 세발나물80g 식용유약간 반죽 튀김가루2컵 물약간'],Super_Vegan
들깨떡국,351,0,3,끓이기,쌀,국/탕,['재료 떡국떡2인분 멸치육수1L 달걀1개 대파12개 들깨가루3스푼 멸치액젓1스푼 국간장05스푼 김가루약간 식용유약간 맛술05스푼 소금약간 후추약간'],Pescatarian
양송이햄버거,1230,0,32,기타,채소류,디저트,['재료 양송이버섯12개 냉동새우5마리 오이12개 방울토마토3개 슬라이스치즈2장 상추약간 소금약간 후추약간 올리브유약간'],Pescatarian
애호박무침,347,0,9,무침,채소류,밑반찬,['재료 애호박1개 식용유적당히 진간장2T 설탕05T 고춧가루05T 다진마늘03T 참기름조금 깨소금05T'],Super_Vegan
해물순두부찌개,783,0,8,끓이기,해물류,국/탕,['재료 순두부400g 해물모듬120g 양파12 대파1개10cm 대파1개15cm 애호박14 청양고추1개 홍고추1개 물600ml 새우젓051T 코인육수2개 후추소량'],Pescatarian
새우잡채,917,0,8,볶음,해물류,밑반찬,['재료 새우15마리 부추20g 당면100g 굴소스1T 진간장1T 후추소량 소금소량 참기름1T 참깨소량'],Pescatarian
바지락칼국수,1232,0,5,끓이기,밀가루,면/만두,['재료 칼국수면400g 바지락500g 청양고추1개 대파1개20cm 양파12 당근13 애호박14 물2L 멸치코인육수6알 참치액1T 소금소량 천일염2T'],Pescatarian
고등어추어탕,1703,0,40,끓이기,채소류,국/탕,['재료 고등어 통조림600g 시래기 데친거300g 대파15개 다진마늘2T 멸치다시마육수2000ml 된장3T 깻잎15장 청양고추3개 고춧가루3T 들깨가루3T 국간장2T 멸치액젓2T 소주2T 후춧가루조금'],Pescatarian
제육볶음,2138,0,10,볶음,돼지고기,메인반찬,['재료 돼지고기 앞다리살200g 양배추60g 양파60g 당근30g 청양고추 1개15g 대파18g 올리브오일1큰술 참기름05큰술 물100ml 통깨솔솔 제육볶음 양념  고추장 듬뿍1큰술 고춧가루15큰술 진간장25큰술 흰설탕13큰술 다진 마늘1큰술 후추톡톡'],Omnivore
잔치국수,1344,0,12,끓이기,밀가루,면/만두,['재료 국수면2인분 당근16개 양파12개 계란1개 신김치1큰술 김가루1큰술 통깨적당량 참치액젓1큰술 국간장12큰술 멸치육수 만들기 멸치20개육수용 자른 다시마2장 마른 표고버섯2개 무4조각 대파12대 미림1큰술 물4컵 양념장 레시피 다진대파1큰술 진간장1큰술 다진마늘12큰술 고춧가루12큰술 참기름12큰술'],Pescatarian
양배추코울슬로,1073,0,7,무침,채소류,샐러드,['재료 양배추105g 당근35g 소스 만들기 씨겨자 소스07큰술 허니머스타드소스05큰술 마요네즈2큰술 레몬즙1큰술 양배추 당근 절이기 흰설탕1작은술 식초1작은술 소금03작은술'],Lacto-Ovo_Vegetarian
오색전,170,0,0,부침,기타,메인반찬,['재료 아삭이고추5개 깻잎5장 표고버섯3개 느타리버섯조금 새우5마리 돼지고기 다짐육300g 밀가루1컵 계란5개 다짐육 양념 마늘12수저 소금1스푼 참기름12수저 후추'],Omnivore
시금치프리타타,878,0,13,굽기,채소류,디저트,['재료 또띠아1장 시금치 방울토마토23개 체다치즈1장 슈레드치즈조금'],Lacto-Ovo_Vegetarian
연근치즈구이,1887,0,16,굽기,채소류,기타,['재료 연근100g 모짜렐라치즈 소금34꼬집 파슬리가루'],Lacto-Ovo_Vegetarian
감자버터구이,1042,0,4,굽기,채소류,디저트,['재료 감자4개 튀김유2T 양념 소금 버터2T 설탕1T'],Lacto-Ovo_Vegetarian
비트쌈무,216,0,4,절임,채소류,밑반찬,['재료 비트400g 식초50ml 설탕50g 물100ml 로즈미라1줄기'],Super_Vegan
양배추전,540,0,12,굽기,채소류,디저트,['재료 양배추180g 계란3개 오트밀12컵 치즈조금 소금2꼬집 마요네즈 돈가스소스'],Omnivore
야채비빔만두,684,0,11,무침,채소류,디저트,['재료 납작만두8장 양배추150g 당근40g 양념재료 고추장2스푼 고추가루1스푼 다진마늘1스푼 식초2스푼 설탕1티스푼 간장1티스푼 올리고당1스푼 매실액1스푼 참기름1스푼'],Omnivore
소고기뭇국,603,0,2,끓이기,소고기,국/탕,['재료 소고기 양지국거리용300g 무150g 참기름4큰술 한알 육수1알 육젓1큰술 다진마늘1큰술 썬파2큰술 물1L'],Omnivore
밀푀유나베,719,0,6,끓이기,소고기,국/탕,['재료 소고기400g 알배추잎10장 깻잎25장 청경채2뿌리 숙주350g 육수재료 대파1대 무200g 멸치다시팩2팩 물15L 쯔유2스푼 국간장2스푼 참치액1스푼 맛술2스푼 나베소스 양파12개 진간장6스푼 올리고당2스푼 식초2스푼 물3스푼'],Omnivore
계란말이,296,0,2,부침,달걀/유제품,밑반찬,['재료 계란5개 대파 큰 것1개 비엔나소시지6개 깻잎조금 꽃소금조금 식용유 '],Omnivore
갈치간장조림,1187,0,11,조림,해물류,밑반찬,['재료 갈치1마리 대파 흰 부분2대 생강즙12T 양념장 물750ml 청주150ml 맛술150ml 양조간장50ml 설탕3T'],Pescatarian
버터갈릭새우,2695,0,11,볶음,해물류,양식,['재료 새우200g 버터20g 통마늘56개 다진마늘2t 소금1t 후추1t 파슬리1t 페페론치노34개'],Pescatarian
차돌박이된장찌개,7178,0,116,끓이기,채소류,국/탕,['재료 감자1개 애호박13개 양파1개 대파1대 청양고추23개 두부12모 차돌박이200g 양념 된장 듬뿍3T 쌈장 듬뿍1T 굵은 소금15T 식초12T 물1L'],Omnivore
토스트,416,0,4,굽기,밀가루,빵,['재료 식빵3장 치즈1장 샌드위치용 햄2장 피자치즈1줌 스파게티 소스2T 마요네즈1T'],Omnivore
고구마김치전,731,0,13,부침,채소류,기타,['재료고구마전 고구마1개 전분1T 부침가루1T 물1T 재료김치전 묵은지100g 전분1T 부침가루1T 물1T 피자치즈 피자치즈약간'],Pescatarian
홍합탕,3940,0,5,끓이기,해물류,국/탕,['재료 홍합1kg 청양고추2개 대파1개 통마늘45개'],Pescatarian
통닭구이,1874,0,9,굽기,닭고기,메인반찬,['재료 닭1마리 버터갈릭소스 버터20g 후추 허브솔트12스푼 다진마늘1스푼'],Omnivore
냉장족발,1496,0,2,기타,돼지고기,기타,['재료 냉장 족발1개'],Omnivore
마약토스트,441,0,2,기타,밀가루,빵,['재료 식빵1개 계란1개 마요네즈'],Lacto-Ovo_Vegetarian
고추장두부찌개,918,0,4,끓이기,돼지고기,찌개,['재료 돼지고기 찌개용600g 고추장3스푼 고춧가루1스푼 두부2모 다진마늘1스푼 표고버섯가루1스푼 쌀뜨물400ml 들기름2스푼'],Omnivore
어묵부추잡채,189,0,1,볶음,기타,면/만두,['재료 당면4인분 당근1개 부추 작은거1단 후추약간 통깨약간 간장12컵 양파1개 소고기100g 설탕2T 참기름약간 표고버섯1움큼 식용유12컵 어묵3장'],Omnivore
브로콜리새우볶음밥,554,0,5,볶음,채소류,밥/죽/떡,['재료 작은브로콜리12송이 칵테일새우100g 굴소스1큰술 마요네즈1바퀴 소금2꼬집'],Pescatarian
단배추겉절이,527,0,3,무침,채소류,메인반찬,['재료 알배추1포기 고춧가루2T 설탕1T 파1움큼 간마늘1t 대파1움큼 소금13컵'],Super_Vegan
함박스테이크,3694,0,15,굽기,소고기,양식,['함박스테이크 패티 양파1개 돼지고기 다짐육300g 소고기 다짐육200g 다진마늘1스푼 소금2꼬집 설탕12스푼 간장2스푼 맛술1스푼 후추 빵가루40g 계란2개 함박스테이크 소스 양파12개 새송이버섯13개 마늘3개 버터20g 돈까스소스10스푼 케찹1스푼 올리고당1스푼 후추 물2스푼 우유5스푼'],Omnivore
계란빵,4379,0,80,굽기,달걀/유제품,빵,['반죽 핫케이크 믹스150g 계란1개 우유100ml 재료 베이컨2줄 양파14개 버터20g 계란6개'],Omnivore
스모크닭가슴살볶음,193,0,2,볶음,닭고기,메인반찬,['재료 닭가슴살160g 마늘6개 양파12개 작은 파프리카2개 양배추40g 당근19g 양념 고추장15큰수저 고춧가루12큰수저 올리고당12큰수저 통깨12큰수저 물3큰수저'],Omnivore
